raw.material,cycle,ID,end.n,end.min,end.max,end.mean,end.median,end.sd,start.n,start.min,start.max,start.mean,start.median,start.sd
obsidian,125-250,OBS4-4,196,0.200000003,0.658888199,0.429444101,0.42944410099999997,0.13348817660884327,196,0.202353276,0.661241472,0.4317973738010204,0.4317973735,0.13348817661060616
obsidian,125-250,OBS4-5,256,0.200000003,1.020541911,0.610270957140625,0.610270957,0.23826294635284503,256,0.203217814,1.023759723,0.613488768546875,0.6134887685,0.2382629463549635
obsidian,125-250,OBS4-6,256,0.200000003,0.593856751,0.3969283768984375,0.396928377,0.11436523622656268,256,0.201544539,0.595401287,0.3984729131640625,0.398472913,0.11436523622613899
obsidian,250-500,OBS4-4,68,0.200000003,0.606889624,0.40344481355882356,0.4034448135,0.12008539421263578,68,0.206072982,0.612962604,0.4095177929852941,0.409517793,0.12008539422433533
obsidian,250-500,OBS4-5,256,0.200000003,1.1920680320000001,0.696034017640625,0.6960340174999999,0.2880694444105114,256,0.203890466,1.195958495,0.6999244805,0.6999244805,0.2880694444095581
obsidian,250-500,OBS4-6,256,0.200000003,1.159014912,0.6795074575664063,0.6795074575,0.27847172159496336,256,0.203760846,1.162775755,0.6832683003476563,0.6832683005,0.27847172159554595
obsidian,0-500,OBS4-4,144,0.200000003,0.622305854,0.4111529285,0.4111529285,0.12318722871430236,144,0.202953191,0.625259042,0.4141061162708333,0.414106116,0.12318722871706848
obsidian,0-500,OBS4-5,256,0.200000003,1.981379253,1.0906896280664062,1.0906896284999998,0.5172638525724438,256,0.206985804,1.988365054,1.097675429046875,1.0976754295,0.5172638525716757
obsidian,0-500,OBS4-6,256,0.200000003,1.724550559,0.962275281234375,0.962275281,0.44268781858840484,256,0.205978633,1.730529189,0.9682539108671875,0.968253911,0.44268781858771633
dacite,0-125,DAC3-2,256,0.200000003,0.681964285,0.44098214419140624,0.440982144,0.1399492564619285,256,0.201890059,0.683854342,0.442872200203125,0.4428722,0.13994925646603304
dacite,0-125,DAC3-4,224,0.200000003,0.279762069,0.23988103627232144,0.2398810365,0.023180146665183293,224,0.20035768,0.280119747,0.24023871370089286,0.2402387135,0.023180146665390877
dacite,0-125,DAC3-6,248,0.200000003,0.825582027,0.5127910151209677,0.512791015,0.1816863075493169,248,0.202532724,0.828114748,0.5153237358669355,0.5153237355,0.18168630754940154
dacite,125-250,DAC3-2,240,0.200000003,0.51279726,0.3563986315375,0.3563986315,0.09086331018868794,240,0.201308778,0.514106035,0.35770740667083334,0.3577074065,0.09086331018718126
dacite,125-250,DAC3-4,248,0.200000003,0.937602112,0.5688010573467742,0.5688010575,0.21422003569451895,248,0.202986246,0.940588355,0.5717873007016129,0.5717873005,0.21422003569418033
dacite,125-250,DAC3-6,256,0.200000003,0.261206243,0.23060312293359375,0.230603123,0.017772619428513298,256,0.200240027,0.261446267,0.23084314740234374,0.2308431475,0.017772619426235935
dacite,250-500,DAC3-2,256,0.200000003,0.767902671,0.48395133695703124,0.483951337,0.1649034151045286,256,0.202227072,0.77012974,0.4861784062421875,0.4861784065,0.16490341510317807
dacite,250-500,DAC3-4,255,0.201445592,0.568625214,0.38503540307058826,0.385035403,0.10662138109324139,255,0.202891181,0.570070803,0.3864809921333333,0.386480992,0.10662138109185355
dacite,250-500,DAC3-6,256,0.200000003,0.379221052,0.28961052771875,0.289610528,0.05204089500363326,256,0.200702831,0.37992388,0.29031335536328123,0.2903133555,0.05204089500307716
dacite,0-500,DAC3-2,256,0.200000003,1.598268611,0.8991343068476563,0.899134307,0.4060189917039542,256,0.205483409,1.603752017,0.9046177131523437,0.9046177129999999,0.4060189917039542
dacite,0-500,DAC3-4,256,0.200000003,0.901297066,0.5506485345859375,0.5506485345,0.20363750206665818,256,0.202750188,0.904047251,0.5533987191484375,0.553398719,0.20363750206845888
dacite,0-500,DAC3-6,232,0.200000003,0.70409858299999994,0.4520492928060345,0.45204929250000003,0.1464653264026235,232,0.202182248,0.706280828,0.4542315377413793,0.4542315375,0.14646532640600973
quartzite,0-125,QTZ1-1,236,0.200000003,1.781057625,0.9905288141525423,0.9905288145,0.45932426363067547,236,0.206727908,1.78778553,0.9972567189279661,0.997256719,0.45932426363008333
quartzite,0-125,QTZ1-2,256,0.200000003,1.070404854,0.6352024286992187,0.635202429,0.2527417823796859,256,0.203413355,1.073818207,0.6386157810585937,0.6386157809999999,0.2527417823813277
quartzite,0-125,QTZ1-5,256,0.200000003,1.456013625,0.8280068141484375,0.828006814,0.3647120315044826,256,0.204925547,1.460939169,0.832932357765625,0.832932358,0.3647120315050652
quartzite,125-250,QTZ1-1,256,0.200000003,0.416947328,0.30847366552734373,0.3084736655,0.06299557445267437,256,0.200850777,0.417798102,0.3093244393515625,0.309324439,0.06299557445349528
quartzite,125-250,QTZ1-2,256,0.200000003,0.318688608,0.25934430569921874,0.2593443055,0.03446392747441447,256,0.200465448,0.319154054,0.2598097512109375,0.25980975100000003,0.03446392747502354
quartzite,125-250,QTZ1-5,256,0.200000003,0.307271498,0.2536357503007812,0.2536357505,0.03114871051812355,256,0.200420676,0.30769217,0.254056422828125,0.254056423,0.031148710517249677
quartzite,250-500,QTZ1-1,256,0.200000003,0.610350003,0.405175003125,0.405175003,0.1191544260205222,256,0.201609219,0.611959219,0.4067842188125,0.406784219,0.11915442602094589
quartzite,250-500,QTZ1-2,136,0.200000003,0.419511501,0.30975575180882353,0.3097557515,0.06407116475055934,136,0.201626014,0.421137512,0.3113817629044118,0.3113817625,0.06407116475422507
quartzite,250-500,QTZ1-5,192,0.200000003,0.738696191,0.469348097109375,0.4693480975,0.15672893449915284,192,0.202820402,0.74151659,0.472168496,0.472168496,0.15672893449816358
quartzite,0-500,QTZ1-1,256,0.200000003,1.748654091,0.97432704703125,0.9743270470000001,0.4496868254710614,256,0.206073156,1.754727244,0.9804002003164063,0.9804002005,0.4496868254687046
quartzite,0-500,QTZ1-2,196,0.200000003,1.288626423,0.7443132130255102,0.7443132130000001,0.3166757329833017,196,0.205582703,1.294209123,0.7498959126173469,0.7498959125,0.3166757329864659
quartzite,0-500,QTZ1-5,168,0.200000003,1.194584826,0.6972924143154762,0.6972924140000001,0.2896894816317861,168,0.205955601,1.200540423,0.7032480120535715,0.703248012,0.28968948162796987
