ID,rawmaterial,Date,Time,Measurment,HLC
FLT10-5,flint,09/06/2021,12:18:19,M10,937
FLT10-4,flint,09/06/2021,12:12:51,M10,967
FLT10-3,flint,09/06/2021,12:06:44,M10,959
FLT10-2,flint,09/06/2021,12:00:33,M10,969
DAC3-7,dacite,09/06/2021,15:03:51,M10,971
DAC3-5,dacite,09/06/2021,14:55:50,M10,929
DAC3-4,dacite,09/06/2021,14:50:33,M10,966
DAC3-3,dacite,09/06/2021,14:46:07,M10,968
DAC3-2,dacite,09/06/2021,14:40:31,M10,954
DAC3-1,dacite,09/06/2021,14:37:10,M10,959
